campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
ext.UBLExtensions|EXT|UBL PEPPOL ext.UBLExtensions||0..1||ext:UBLExtensions|
ext.UBLExtension|EXT|UBL PEPPOL ext.UBLExtension||0..1||ext:UBLExtensions/ext:UBLExtension|
ext.ExtensionURI|EXT|UBL PEPPOL ext.ExtensionURI|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionURI|
ext.ExtensionContent|EXT|UBL PEPPOL ext.ExtensionContent|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent|
cbc.Description|EXT|UBL PEPPOL cbc.Description|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:Description|
ext.UBLExtension|EXT|UBL PEPPOL ext.UBLExtension||0..1||ext:UBLExtensions/ext:UBLExtension|
ext.ExtensionURI|EXT|UBL PEPPOL ext.ExtensionURI|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionURI|
ext.ExtensionContent|EXT|UBL PEPPOL ext.ExtensionContent|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent|
cbc.TypeCode|EXT|UBL PEPPOL cbc.TypeCode|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:TypeCode|
ext.UBLExtension|EXT|UBL PEPPOL ext.UBLExtension||0..1||ext:UBLExtensions/ext:UBLExtension|
ext.ExtensionURI|EXT|UBL PEPPOL ext.ExtensionURI|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionURI|
ext.ExtensionContent|EXT|UBL PEPPOL ext.ExtensionContent|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent|
cbc.TypeCode|EXT|UBL PEPPOL cbc.TypeCode|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:TypeCode|
ext.UBLExtension|EXT|UBL PEPPOL ext.UBLExtension||0..1||ext:UBLExtensions/ext:UBLExtension|
ext.ExtensionURI|EXT|UBL PEPPOL ext.ExtensionURI|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionURI|
ext.ExtensionContent|EXT|UBL PEPPOL ext.ExtensionContent|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent|
cbc.TypeCode|EXT|UBL PEPPOL cbc.TypeCode|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:TypeCode|
ext.UBLExtension|EXT|UBL PEPPOL ext.UBLExtension||0..1||ext:UBLExtensions/ext:UBLExtension|
ext.ExtensionURI|EXT|UBL PEPPOL ext.ExtensionURI|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionURI|
ext.ExtensionContent|EXT|UBL PEPPOL ext.ExtensionContent|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent|
cbc.TypeCode|EXT|UBL PEPPOL cbc.TypeCode|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:TypeCode|
ext.UBLExtension|EXT|UBL PEPPOL ext.UBLExtension||0..1||ext:UBLExtensions/ext:UBLExtension|
ext.ExtensionURI|EXT|UBL PEPPOL ext.ExtensionURI|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionURI|
ext.ExtensionContent|EXT|UBL PEPPOL ext.ExtensionContent|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent|
cbc.Amount|EXT|UBL PEPPOL cbc.Amount|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:Amount|
@currencyID|EXT|UBL PEPPOL @currencyID||M||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:Amount/@currencyID|
ext.UBLExtension|EXT|UBL PEPPOL ext.UBLExtension||0..1||ext:UBLExtensions/ext:UBLExtension|
ext.ExtensionURI|EXT|UBL PEPPOL ext.ExtensionURI|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionURI|
ext.ExtensionContent|EXT|UBL PEPPOL ext.ExtensionContent|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent|
cac.AllowanceCharge|EXT|UBL PEPPOL cac.AllowanceCharge||1..n||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cac:AllowanceCharge|
cbc.ChargeIndicator|EXT|UBL PEPPOL cbc.ChargeIndicator|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cac:AllowanceCharge/cbc:ChargeIndicator|
cbc.MultiplierFactorNumeric|EXT|UBL PEPPOL cbc.MultiplierFactorNumeric||0..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cac:AllowanceCharge/cbc:MultiplierFactorNumeric|
cbc.Amount|EXT|UBL PEPPOL cbc.Amount|X|1..1||ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cac:AllowanceCharge/cbc:Amount|
