campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
Numéro de facture|BT-1|IDENTIFIANT|X|1..1|BR-FR-01 : ID de facture 35 Caractères@@@@@@L'identifiant de facture DOIT ÊTRE limité à 35 caractères	BR-FR-02 : ID de facture caractères autorisés@@@@@@L'Identifiant de facture (BT-1) est composé de caractères alphanumériques (A-Z, a-z, 0-9). Les caractères spéciaux suivants sont autorisés :@@@- tiret ("-")@@@- signe "+"@@@- tiret bas (underscore : "_")@@@- barre oblique (slash : "/")	BR-FR-MAP-01 : ID de facture caractères autorisés@@@@@@Pour la constitution du flux 1 ou 10.1, flux 6 pour le PPF, l'identifiant de facture est réduit à 20 caractères s'il en contient plus de 20, de la façon suivante :@@@- Troncature à 19 caractères à droite@@@- ajout d'un "T" à gauche pour signifier la troncature@@@Exemple : 987654321-123456782-F202500125 donne T23456782-F202500125	BR-FR-CO-02 : Unicité de la facture@@@@@@L'identifiant unique de facture doit être composé des éléments suivants:@@@- Numéro de facture (BT-1)@@@- Année de production de la facture (Issue de la date d'émission de la facture (BT-2))@@@- Identifiant légal du Vendeur : numéro SIREN (BT-30)@@@@@@L’unicité de la facture vise à éviter les erreurs de facturation (double facturation notamment). Une facture présentant des informations similaires cumulativement sur ces trois données par rapport à une facture précédemment envoyée fera l’objet d’un rejet par les plateformes.@@@Le contrôle d’unicité est systématiquement bloquant.@@@@@@En cas de mandat de facturation, le numéro de facture doit comporter une racine propre au mandataire pour éviter les doublons de facture avec celles de son mandant.@@@@@@Le numéro de facture doit respecter la règlementation du BOFIP suivante:@@@BOI-TVA-DECLA-30-20-20-10 du 18/10/2023@@@Section : A. La numérotation des factures|<Numéro de facture>|20;35
Date d'émission facture initiale / facture rectificative|BT-2|DATE|X|1..1|BR-FR-03 : Date entre 2000 et 2099@@@@@@L'année d'une date DOIT ETRE comprise entre 2000 et 2099	BR-FR-MAP-23 : Format Date@@@@@@Dans le flux 10.0, les dates sont au format AAAMMJJ@@@DONC, pour les flux 2, 8, et 9 sous syntaxe UBL, il faut supprimer les "-"@@@EXEMPLE : 2025-02-12 devient 20250212	BR-FR-CO-01 : Pas d'antidatage dans l'avenir@@@@@@La date de facture BT-2 DOIT ETRE antérieure ou égale à date d'application du contrôle de conformité	BR-FR-CO-02 : Unicité de la facture@@@@@@L'identifiant unique de facture doit être composé des éléments suivants:@@@- Numéro de facture (BT-1)@@@- Année de production de la facture (Issue de la date d'émission de la facture (BT-2))@@@- Identifiant légal du Vendeur : numéro SIREN (BT-30)@@@@@@L’unicité de la facture vise à éviter les erreurs de facturation (double facturation notamment). Une facture présentant des informations similaires cumulativement sur ces trois données par rapport à une facture précédemment envoyée fera l’objet d’un rejet par les plateformes.@@@Le contrôle d’unicité est systématiquement bloquant.@@@@@@En cas de mandat de facturation, le numéro de facture doit comporter une racine propre au mandataire pour éviter les doublons de facture avec celles de son mandant.@@@@@@Le numéro de facture doit respecter la règlementation du BOFIP suivante:@@@BOI-TVA-DECLA-30-20-20-10 du 18/10/2023@@@Section : A. La numérotation des factures|<Date d'émission facture initiale / facture rectificative>|ISO
Code de type de facture|BT-3|CODE|X|1..1|BR-FR-04 : Codes types documents@@@@@@Les codes types de documents pour une facture sont les suivants:@@@Factures simples :@@@- Facture commerciale (380)@@@- Facture auto-facturée (389)@@@- Facture affacturée (393)@@@- Facture auto-facturée affacturée (501) (*)@@@@@@Factures d'acompte :@@@- Facture d'acompte (386)@@@- Facture d’acompte auto-facturée (500) (*)@@@@@@Factures rectificatives :@@@- Facture rectificative (384)@@@- Facture rectificative auto-facturée ( 471) (*)@@@- Facture rectificative affacturée (472) (*)@@@- Facture rectificative auto-facturée affacturée ( 473)  (*)@@@@@@Avoirs :@@@- Avoir auto-facturé (261)@@@- Avoir pour Remise Globale (262)@@@- Avoir (381)@@@- Avoir affacturé (396)@@@- Avoir auto-facturé affacturé (502) (*)@@@- Avoir de facture d'acompte (503) (*)@@@@@@Les autres types de factures définis dans la norme (UNTDID 1001) ne doivent pas être utilisés.@@@/!\ : (*) En attente de l'intégration des codes par la maintenance EN16931	BR-FR-CO-08 : Cadre de facturation Facture définitive@@@@@@Si le cadre de facturation (BT-23) est :@@@- B4 : Factures définitives (après acompte) de bien@@@- S4 : Factures définitives (après acompte) de prestation de service@@@- M4 : Factures définitives (après acompte) double@@@@@@ALORS le type de facture ne peut pas être :@@@- Facture d'acompte (386)@@@- Facture d’acompte auto-facturée (500)@@@- Avoir de facture d'acompte (503)	BR-FR-MAP-02 : Codestypes documents@@@@@@Si le codetype de la facture (BT-3) est égal à 262 (Avoir pour Remise Globale), alors :@@@Pour le flux 1 :@@@- le codetype de la facture (BT-3 = 262) DOIT être mappé en 381 dans le flux 1 (BT-3)@@@- la référence de Contrat (BT-12) de la facture doit être mappée dans la Référence à une facture antérieure (BT-25) du Flux 1, et la Date de début de période de facturation (BT-73)  DOIT être mappée dans la Date de facture antérieure (BT-26).@@@@@@Pour le flux 10.1 :@@@- le codetype de la facture (BT-3 = 262) DOIT être mappé en 381 dans le flux 10.1 (TT-21)@@@- la référence de Contrat (BT-12) de la facture DOIT être mappée dans la Référence à une facture antérieure (TT-30) et la Date de début de période de facturation (BT-73)  DOIT être mappée dans la Date de facture antérieure (TT-31)|<Code de type de facture>|3
Code de devise de la facture|BT-5|CODE|X|1..1|BR-FR-CO-12 : Montant de TVA en EURO@@@@@@Si la Devise de facture (BT-5) est différente de EUR, alors@@@- la devise de comptabilité BT-6 DOIT être présente et égale à EUR@@@- Le montant de TVA en devise de comptabilité (et donc en EURO BT-111 DOIT être présente, et BT-111-1 DOIT être égal à EUR	BR-FR-MAP-05 : TVA en EURO dans le flux 10.1@@@@@@Si la Devise de facture (BT-5) est EUR, alors TT-52 est égal à BT-110, sinon, TT-52 est égal à BT-111|<Code de devise de la facture>|3
Code de devise de comptabilisation de la TVA|BT-6|CODE||0..1|BR-FR-CO-12 : Montant de TVA en EURO@@@@@@Si la Devise de facture (BT-5) est différente de EUR, alors@@@- la devise de comptabilité BT-6 DOIT être présente et égale à EUR@@@- Le montant de TVA en devise de comptabilité (et donc en EURO BT-111 DOIT être présente, et BT-111-1 DOIT être égal à EUR	BR-FR-MAP-05 : TVA en EURO dans le flux 10.1@@@@@@Si la Devise de facture (BT-5) est EUR, alors TT-52 est égal à BT-110, sinon, TT-52 est égal à BT-111|<Code de devise de comptabilisation de la TVA>|
Date d'exigibilité de la taxe sur la valeur ajoutée|BT-7|DATE||0..1||<Date d'exigibilité de la taxe sur la valeur ajoutée>|
Code de date d'exigibilité de la taxe sur la valeur ajoutée|BT-8|CODE||0..1|BR-FR-MAP-03 : TVA sur les débits@@@@@@Il est rappelé que l'option de TVA sur les débits est générale et l'emporte sur l'ensemble des factures émises. En cas de prestations de services et d'option pour la TVA sur les débits, l'exigibilité de la TVA est due au moment de l'inscription de la somme correspondante au débit du compte « client ». En pratique, le débit coïncide le plus souvent avec la facturation. Il est souligné que l'option d'acquitter la taxe d'après les débits ne peut avoir pour effet de retarder l'exigibilité de la taxe.@@@@@@L'indication de l'exigibilité de la TVA pour les débits est indiquée en BT-8 avec les valeurs 5 en CII et 3 en UBL.@@@BT-8 est obligatoire pour les factures de service dès lors que l'assujetti Vendeur a opté pour les débits.@@@Dans le flux 10.1 la valeur de BT-8 est mappée en TT-24|<Code de date d'exigibilité de la taxe sur la valeur ajoutée>|3
Date d'échéance / Date de versement en cas d'acompte|BT-9|DATE||0..1|BR-FR-03 : Date entre 2000 et 2099@@@@@@L'année d'une date DOIT ETRE comprise entre 2000 et 2099	BR-FR-CO-07 : Date de versement de l'acompte@@@@@@La Date d'échéance (BT-9), si présente, DOIT être postérieure ou égale à la Date de facture (BT-2),@@@SAUF SI la facture est de type acompte (BT-3) :@@@- Facture d'acompte (386)@@@- Facture d’acompte auto-facturé (500) (*)@@@- Avoir de facture d'acompte (503) (*)@@@@@@OU SAUF SI le Cadre de facturation (BT-23) est égal à :@@@- B2 : Dépôt d'une facture de bien déjà payée@@@- S2 : Dépôt d'une facture de prestation de service déjà payée@@@- M2 : Dépôt d'une facture double déjà payée	BR-FR-CO-09 : Cadre de facturation Déjà payé@@@@@@Si le cadre de facturation (BT-23) est :@@@- B2 : Dépôt d'une facture de bien déjà payée@@@- S2 : Dépôt d'une facture de prestation de service déjà payée@@@- M2 : Dépôt d'une facture double déjà payée@@@@@@ALORS@@@- Le montant déjà payé (BT-113) est égal Montant total de la Facture avec la TVA (BT-112)@@@- le Net à payer (BT-115) est égal à 0@@@- la Date d'échéance (BT-9) DOIT indiquer la date à laquelle la facture a été payée	BR-FR-MAP-23 : Format Date@@@@@@Dans le flux 10.0, les dates sont au format AAAMMJJ@@@DONC, pour les flux 2, 8, et 9 sous syntaxe UBL, il faut supprimer les "-"@@@EXEMPLE : 2025-02-12 devient 20250212|<Date d'échéance / Date de versement en cas d'acompte>|ISO
Référence de l'acheteur|BT-10|TEXTE||0..1||<Référence de l'acheteur>|
Référence de projet|BT-11|REFERENCE DU DOCUMENT||0..1||<Référence de projet>|
