campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath,level,segment_group,msg_pos,segment,segment_name,segment_status,segment_max_rep,component_pos,component_type,component,component_name,component_m_c,component_format,element_repr,element_name,code_list
UNH,UNH Message header,Segment (no detailed structure found in TRSD for this tag in provided directory).,SI,1,,,,,/EDIFACT/INVOIC/HEADER//UNH,HEADER,,0010,UNH,Message header,M,1,,SEGMENT,,,,,,,
BGM.C002,BGM::C002 DOCUMENT/MESSAGE NAME,Composite used in segment BGM (Beginning of message).,NO,1,,,,,/EDIFACT/INVOIC/HEADER//BGM/C002,HEADER,,0020,BGM,Beginning of message,M,1,010,COMPOSITE,C002,DOCUMENT/MESSAGE NAME,C,,,,
BGM.1004,Document/message number,DOCUMENT/MESSAGE NUMBER (in segment BGM Beginning of message).,NO,1,,,,an..35,/EDIFACT/INVOIC/HEADER//BGM/1004,HEADER,,0020,BGM,Beginning of message,M,1,020,ELEMENT,1004,DOCUMENT/MESSAGE NUMBER,C,an..35,an..35,Document/message number,
BGM.1225,"Message function, coded","MESSAGE FUNCTION, CODED (in segment BGM Beginning of message).",NO,1,,,,an..3,/EDIFACT/INVOIC/HEADER//BGM/1225,HEADER,,0020,BGM,Beginning of message,M,1,030,ELEMENT,1225,"MESSAGE FUNCTION, CODED",C,an..3,an..3,"Message function, coded",
BGM.4343,"Response type, coded","RESPONSE TYPE, CODED (in segment BGM Beginning of message).",NO,1,,,,an..3,/EDIFACT/INVOIC/HEADER//BGM/4343,HEADER,,0020,BGM,Beginning of message,M,1,040,ELEMENT,4343,"RESPONSE TYPE, CODED",C,an..3,an..3,"Response type, coded","AA=Debit advice | AB=Message acknowledgement | AC=Acknowledge - with detail and change | AD=Acknowledge - with detail, no change | AF=Debit advice/message acknowledgement | AG=Authentication | AP=Accepted | CA=Conditionally accepted | CO=Confirmation of measurements | RE=Rejected | ABX=Automated bills of exchange | BEX=Bills of exchange | BGI=Bankgiro | BKD=Bank draft | BKI=Bank initiated | CAL=Cash letter | CHG=Charges | CHI=Cheque international | CHN=Cheque national | CLR=Clearing | COL=Collection | COM=Commission | CON=Cash concentration | CPP=Cash payment by post | CUX=Currencies | DDT=Direct debit | DEP=Deposit cash operation | FEX=Foreign exchange | FGI=Free format giro | INT=Interest | LOC=Letter of credit | LOK=Lockbox | MSC=Miscellaneous | PAC=Payment card | PGI=Postgiro | POS=Point of sale | REC=Returned cheques | RET=Returned items | RGI=Reference giro | RTR=Returned transfers | SEC=Securities | STO=Standing order | TCK=Travellers cheque | TRF=Transfer | UGI=Urgent giro | VDA=Value date adjustment | WDL=Withdrawal cash operation | ZZZ=Mutually defined | AA=Send credit note | AB=Change invoice | AD=Advise | AF=Stop delivery process | AG=Send replacement | AH=Pick-up | AI=Advise by telecommunication | AJ=Advise by fax | AK=By registered airmail | AL=By registered airmail in one set | AM=By registered airmail in two sets | AP=Advise by phone | AT=Advise by telex | CO=Convert | DA=Without | DB=May add | DC=Confirm | DD=By registered mail | DE=By courier service | DF=By teletransmission | DG=Preadvice by teletransmission | DH=By courier service in one set | DI=By courier service in two sets | DJ=By registered mail in one set | DK=By registered mail in two sets | DN=Per teletransmission | DO=Advise beneficiary by phone | DP=Late presentation of documents within D/C validity | EI=EDI | EM=Electronic mail | EX=Expedite | QC=Quality control held | QE=Quality control embargo | RL=Released | SW=S.W.I.F.T."
DTM.C507,DTM::C507 DATE/TIME/PERIOD,Composite used in segment DTM (Date/time/period).,SI,35,,,,,/EDIFACT/INVOIC/HEADER//DTM/C507,HEADER,,0030,DTM,Date/time/period,M,35,010,COMPOSITE,C507,DATE/TIME/PERIOD,M,,,,
PAI.C534,PAI::C534 PAYMENT INSTRUCTION DETAILS,Composite used in segment PAI (Payment instructions).,SI,1,,,,,/EDIFACT/INVOIC/HEADER//PAI/C534,HEADER,,0040,PAI,Payment instructions,C,1,010,COMPOSITE,C534,PAYMENT INSTRUCTION DETAILS,M,,,,
IMD.7077,"Item description type, coded","ITEM DESCRIPTION TYPE, CODED (in segment IMD Item description).",NO,1,,,,an..3,/EDIFACT/INVOIC/HEADER//IMD/7077,HEADER,,0060,IMD,Item description,C,1,010,ELEMENT,7077,"ITEM DESCRIPTION TYPE, CODED",C,an..3,an..3,"Item description type, coded",B=Code and text | C=Code (from industry code list) | F=Free-form | S=Structured (from industry code list) | X=Semi-structured (code + text)
IMD.7081,"Item characteristic, coded","ITEM CHARACTERISTIC, CODED (in segment IMD Item description).",NO,1,,,,an..3,/EDIFACT/INVOIC/HEADER//IMD/7081,HEADER,,0060,IMD,Item description,C,1,020,ELEMENT,7081,"ITEM CHARACTERISTIC, CODED",C,an..3,an..3,"Item characteristic, coded",A=Added to the configuration | D=Deleted from the configuration | I=Included in the configuration
IMD.C273,IMD::C273 ITEM DESCRIPTION,Composite used in segment IMD (Item description).,NO,1,,,,,/EDIFACT/INVOIC/HEADER//IMD/C273,HEADER,,0060,IMD,Item description,C,1,030,COMPOSITE,C273,ITEM DESCRIPTION,C,,,,
