segmento completo,Description,offset,lunghezza,valore rilevato
E1EDK01.CURCY,Currency,68,3,PLN
E1EDK01.HWAER,EDI local currency,68,3,PLN
E1EDK01.WKURS,Exchange rate,74,7,1.00000
E1EDK01.ZTERM,Terms of payment key,86,4,ZINT
E1EDK01.KUNDEUINR,VAT Registration Number,103,11,GB452050824
E1EDK01.EIGENUINR,VAT Registration Number,,,
E1EDK01.BSART,Document Type,143,4,INVO
E1EDK01.BELNR,IDOC document number,147,10,4108082956
E1EDK01.NTGEW,Net weight,,,
E1EDK01.BRGEW,Net weight,200,5,1.998
E1EDK01.GEWEI,Weight unit,218,2,GR
E1EDK01.RECIPNT_NO,Number of recipient (for contr,276,10,0000942321
E1EDK01.FKTYP,Billing Category,,,
E1EDKA1.PARVW,Partner function (e.g. sold-to,,,
E1EDKA1.LIFNR,Supplier Number at Customer Lo,84,10,0000942321
E1EDKA1.NAME1,Name 1,101,25,CommScope Solution Poland
E1EDKA1.STRAS,Street and house number 1,,,
E1EDKA1.ORT01,City,345,8,WARSZAWA
E1EDKA1.PSTLZ,Postal code,389,6,02-390
E1EDKA1.LAND1,Country Key,407,2,PL
E1EDKA1.TELF1,1st telephone number of contac,,,
E1EDKA1.TELFX,Fax number,,,
E1EDKA1.SPRAS,Language key,248,1,E
E1EDKA1.BNAME,IDoc user name,,,
E1EDKA1.PAORG,IDOC organization code,84,4,4118
E1EDKA1.PARVW,Partner function (e.g. sold-to,,,
E1EDKA1.PARTN,Partner number,84,10,0000942321
E1EDKA1.LIFNR,Supplier Number at Customer Lo,88,6,942321
E1EDKA1.NAME1,Name 1,101,20,COMMSCOPE UK LIMITED
E1EDKA1.STRAS,Street and house number 1,241,30,"FIRST FLOOR, 1010 ESKDALE ROAD"
E1EDKA1.ORT01,City,346,9,WOKINGHAM
E1EDKA1.PSTLZ,Postal code,390,8,RG41 5TS
E1EDKA1.LAND1,Country Key,408,2,GB
E1EDKA1.SPRAS,Language key,248,1,E
E1EDKA1.ORT02,District,,,
E1EDKA1.REGIO,Region,64,2,BK
E1EDKA1.SPRAS_ISO,2-Character SAP Language Code,,,
E1EDKA1.PARVW,Partner function (e.g. sold-to,,,
E1EDKA1.PARTN,Partner number,84,10,0000942321
E1EDKA1.NAME1,Name 1,101,20,COMMSCOPE UK LIMITED
E1EDKA1.STRAS,Street and house number 1,241,30,"FIRST FLOOR, 1010 ESKDALE ROAD"
E1EDKA1.ORT01,City,346,9,WOKINGHAM
E1EDKA1.PSTLZ,Postal code,390,8,RG41 5TS
E1EDKA1.LAND1,Country Key,408,2,GB
E1EDKA1.SPRAS,Language key,248,1,E
E1EDKA1.ORT02,District,,,
E1EDKA1.REGIO,Region,64,2,BK
E1EDKA1.SPRAS_ISO,2-Character SAP Language Code,,,
E1EDKA1.PARVW,Partner function (e.g. sold-to,,,
E1EDKA1.PARTN,Partner number,84,10,0000942321
E1EDKA1.NAME1,Name 1,101,20,COMMSCOPE UK LIMITED
E1EDKA1.STRAS,Street and house number 1,241,30,"FIRST FLOOR, 1010 ESKDALE ROAD"
E1EDKA1.ORT01,City,346,9,WOKINGHAM
E1EDKA1.PSTLZ,Postal code,390,8,RG41 5TS
E1EDKA1.LAND1,Country Key,408,2,GB
E1EDKA1.SPRAS,Language key,248,1,E
E1EDKA1.ORT02,District,,,
E1EDKA1.REGIO,Region,64,2,BK
E1EDKA1.SPRAS_ISO,2-Character SAP Language Code,,,
E1EDKA1.PARVW,Partner function (e.g. sold-to,,,
E1EDKA1.PARTN,Partner number,84,10,0000942321
E1EDKA1.LIFNR,Supplier Number at Customer Lo,84,4,GB32
E1EDKA1.NAME1,Name 1,101,20,COMMSCOPE UK LIMITED
E1EDKA1.STRAS,Street and house number 1,241,30,"FIRST FLOOR, 1010 ESKDALE ROAD"
E1EDKA1.ORT01,City,346,9,WOKINGHAM
E1EDKA1.PSTLZ,Postal code,390,8,RG41 5TS
E1EDKA1.LAND1,Country Key,408,2,GB
E1EDKA1.SPRAS,Language key,248,1,E
E1EDKA1.ORT02,District,,,
E1EDKA1.REGIO,Region,64,2,BK
E1EDKA1.SPRAS_ISO,2-Character SAP Language Code,,,
E1EDKA1.PARVW,Partner function (e.g. sold-to,,,
E1EDKA1.LIFNR,Supplier Number at Customer Lo,84,4,4118
E1EDKA1.NAME1,Name 1,101,25,CommScope Solution Poland
E1EDKA1.STRAS,Street and house number 1,,,
E1EDKA1.ORT01,City,345,8,WARSZAWA
E1EDKA1.COUNC,County code,,,
E1EDKA1.PSTLZ,Postal code,389,6,02-390
E1EDKA1.LAND1,Country Key,407,2,PL
E1EDKA1.TELF1,1st telephone number of contac,,,
E1EDKA1.REGIO,Region,,,
E1EDK02.QUALF,IDOC qualifier reference docum,,,
E1EDK02.BELNR,IDOC document number,67,10,4108082956
E1EDK02.DATUM,IDOC: Date,108,8,20240630
E1EDK02.SEGNUM,Segment Number,,,
E1EDK02.SEGNAM,Segment Name,,,
E1EDK02.QUALF,IDOC qualifier reference docum,,,
E1EDK02.BELNR,IDOC document number,67,9,JUN24 MSA
E1EDK02.QUALF,IDOC qualifier reference docum,,,
E1EDK02.BELNR,IDOC document number,67,10,0070308199
E1EDK02.DATUM,IDOC: Date,108,8,20240703
E1EDK02.QUALF,IDOC qualifier reference docum,,,
E1EDK02.BELNR,IDOC document number,67,10,4108082956
E1EDK02.QUALF,IDOC qualifier reference docum,,,
E1EDK02.BELNR,IDOC document number,67,9,JUN24 MSA
E1EDK02.QUALF,IDOC qualifier reference docum,,,
E1EDK02.BELNR,IDOC document number,67,11,GB452050824
E1EDK03.IDDAT,Qualifier for IDOC date segmen,,,
E1EDK03.DATUM,IDOC: Date,67,8,20240630
