campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
FatturaElettronicaHeader|1|FatturaPA field FatturaElettronicaHeader|X|1 ..1|||
DatiTrasmissione|1.1|FatturaPA field DatiTrasmissione|X|1 ..1|||
IdTrasmittente|1.1.1|FatturaPA field IdTrasmittente|X|1 ..1|||
IdPaese|1.1.1.1|FatturaPA field IdPaese|X|1 ..1|||
IdCodice|1.1.1.2|FatturaPA field IdCodice|X|1 ..1|||
ProgressivoInvio|1.1.2|FatturaPA field ProgressivoInvio|X|1 ..1|||
FormatoTrasmissione|1.1.3|FatturaPA field FormatoTrasmissione|X|1 ..1|||
CodiceDestinatario|1.1.4|FatturaPA field CodiceDestinatario|X|1 ..1|||
ContattiTrasmittente|1.1.5|FatturaPA field ContattiTrasmittente||0 ..1|||
Telefono|1.1.5.1|FatturaPA field Telefono||0 ..1|||
Email|1.1.5.2|FatturaPA field Email||0 ..1|||
PECDestinatario|1.1.6|FatturaPA field PECDestinatario||0 ..1|||
CedentePrestatore|1.2|FatturaPA field CedentePrestatore|X|1 ..1|||
DatiAnagrafici|1.2.1|FatturaPA field DatiAnagrafici|X|1 ..1|||
IdFiscaleIVA|1.2.1.1|FatturaPA field IdFiscaleIVA|X|1 ..1|||
IdPaese|1.2.1.1.1|FatturaPA field IdPaese|X|1 ..1|||
IdCodice|1.2.1.1.2|FatturaPA field IdCodice|X|1 ..1|||
CodiceFiscale|1.2.1.2|FatturaPA field CodiceFiscale||0 ..1|||
Anagrafica|1.2.1.3|FatturaPA field Anagrafica|X|1 ..1|||
Denominazione|1.2.1.3.1|FatturaPA field Denominazione||0 ..1|||
Nome|1.2.1.3.2|FatturaPA field Nome||0 ..1|||
Cognome|1.2.1.3.3|FatturaPA field Cognome||0 ..1|||
Titolo|1.2.1.3.4|FatturaPA field Titolo||0 ..1|||
CodEORI|1.2.1.3.5|FatturaPA field CodEORI||0 ..1|||
AlboProfessionale|1.2.1.4|FatturaPA field AlboProfessionale||0 ..1|||
ProvinciaAlbo|1.2.1.5|FatturaPA field ProvinciaAlbo||0 ..1|||
NumeroIscrizioneAlbo|1.2.1.6|FatturaPA field NumeroIscrizioneAlbo||0 ..1|||
DataIscrizioneAlbo|1.2.1.7|FatturaPA field DataIscrizioneAlbo||0 ..1|||
RegimeFiscale|1.2.1.8|FatturaPA field RegimeFiscale|X|1 ..1|||
Sede|1.2.2|FatturaPA field Sede|X|1 ..1|||
Indirizzo|1.2.2.1|FatturaPA field Indirizzo|X|1 ..1|||
NumeroCivico|1.2.2.2|FatturaPA field NumeroCivico||0 ..1|||
CAP|1.2.2.3|FatturaPA field CAP|X|1 ..1|||
Comune|1.2.2.4|FatturaPA field Comune|X|1 ..1|||
Provincia|1.2.2.5|FatturaPA field Provincia||0 ..1|||
Nazione|1.2.2.6|FatturaPA field Nazione|X|1 ..1|||
