campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
ext.UBLExtensions|BT-1|UBL PEPPOL field ext.UBLExtensions|||||
ext.UBLExtension|BT-2|UBL PEPPOL field ext.UBLExtension|||||
ext.ExtensionURI|BT-3|UBL PEPPOL field ext.ExtensionURI|||||
ext.ExtensionContent|BT-4|UBL PEPPOL field ext.ExtensionContent|||||
cbc.Description|BT-5|UBL PEPPOL field cbc.Description|||||
ext.UBLExtension|BT-6|UBL PEPPOL field ext.UBLExtension|||||
ext.ExtensionURI|BT-7|UBL PEPPOL field ext.ExtensionURI|||||
ext.ExtensionContent|BT-8|UBL PEPPOL field ext.ExtensionContent|||||
cbc.TypeCode|BT-9|UBL PEPPOL field cbc.TypeCode|||||
ext.UBLExtension|BT-10|UBL PEPPOL field ext.UBLExtension|||||
ext.ExtensionURI|BT-11|UBL PEPPOL field ext.ExtensionURI|||||
ext.ExtensionContent|BT-12|UBL PEPPOL field ext.ExtensionContent|||||
cbc.TypeCode|BT-13|UBL PEPPOL field cbc.TypeCode|||||
ext.UBLExtension|BT-14|UBL PEPPOL field ext.UBLExtension|||||
ext.ExtensionURI|BT-15|UBL PEPPOL field ext.ExtensionURI|||||
ext.ExtensionContent|BT-16|UBL PEPPOL field ext.ExtensionContent|||||
cbc.TypeCode|BT-17|UBL PEPPOL field cbc.TypeCode|||||
ext.UBLExtension|BT-18|UBL PEPPOL field ext.UBLExtension|||||
ext.ExtensionURI|BT-19|UBL PEPPOL field ext.ExtensionURI|||||
ext.ExtensionContent|BT-20|UBL PEPPOL field ext.ExtensionContent|||||
cbc.TypeCode|BT-21|UBL PEPPOL field cbc.TypeCode|||||
ext.UBLExtension|BT-22|UBL PEPPOL field ext.UBLExtension|||||
ext.ExtensionURI|BT-23|UBL PEPPOL field ext.ExtensionURI|||||
ext.ExtensionContent|BT-24|UBL PEPPOL field ext.ExtensionContent|||||
cbc.Amount|BT-25|UBL PEPPOL field cbc.Amount|||||
@currencyID|BT-26|UBL PEPPOL field @currencyID|||||
ext.UBLExtension|BT-27|UBL PEPPOL field ext.UBLExtension|||||
ext.ExtensionURI|BT-28|UBL PEPPOL field ext.ExtensionURI|||||
ext.ExtensionContent|BT-29|UBL PEPPOL field ext.ExtensionContent|||||
cac.AllowanceCharge|BT-30|UBL PEPPOL field cac.AllowanceCharge|||||
cbc.ChargeIndicator|BT-31|UBL PEPPOL field cbc.ChargeIndicator|||||
cbc.MultiplierFactorNumeric|BT-32|UBL PEPPOL field cbc.MultiplierFactorNumeric|||||
cbc.Amount|BT-33|UBL PEPPOL field cbc.Amount|||||
@currencyID|BT-34|UBL PEPPOL field @currencyID|||||
cbc.CustomizationID|BT-35|UBL PEPPOL field cbc.CustomizationID|||||
cbc.ProfileID|BT-36|UBL PEPPOL field cbc.ProfileID|||||
cbc.ID|BT-37|UBL PEPPOL field cbc.ID|||||
cbc.IssueDate|BT-38|UBL PEPPOL field cbc.IssueDate|||||
cbc.DueDate|BT-39|UBL PEPPOL field cbc.DueDate|||||
cbc.InvoiceTypeCode|BT-40|UBL PEPPOL field cbc.InvoiceTypeCode|||||
cbc.Note|BT-41|UBL PEPPOL field cbc.Note|||||
cbc.TaxPointDate|BT-42|UBL PEPPOL field cbc.TaxPointDate|||||
cbc.DocumentCurrencyCode|BT-43|UBL PEPPOL field cbc.DocumentCurrencyCode|||||
cbc.TaxCurrencyCode|BT-44|UBL PEPPOL field cbc.TaxCurrencyCode|||||
cbc.AccountingCost|BT-45|UBL PEPPOL field cbc.AccountingCost|||||
cbc.BuyerReference|BT-46|UBL PEPPOL field cbc.BuyerReference|||||
cac.InvoicePeriod|BT-47|UBL PEPPOL field cac.InvoicePeriod|||||
cbc.StartDate|BT-48|UBL PEPPOL field cbc.StartDate|||||
cbc.EndDate|BT-49|UBL PEPPOL field cbc.EndDate|||||
cbc.DescriptionCode|BT-50|UBL PEPPOL field cbc.DescriptionCode|||||
cac.OrderReference|BT-51|UBL PEPPOL field cac.OrderReference|||||
cbc.ID|BT-52|UBL PEPPOL field cbc.ID|||||
cbc.SalesOrderID|BT-53|UBL PEPPOL field cbc.SalesOrderID|||||
cbc.IssueDate|BT-54|UBL PEPPOL field cbc.IssueDate|||||
cac.BillingReference|BT-55|UBL PEPPOL field cac.BillingReference|||||
cac.InvoiceDocumentReference|BT-56|UBL PEPPOL field cac.InvoiceDocumentReference|||||
cbc.ID|BT-57|UBL PEPPOL field cbc.ID|||||
cbc.IssueDate|BT-58|UBL PEPPOL field cbc.IssueDate|||||
cac.AdditionalDocumentReference|BT-59|UBL PEPPOL field cac.AdditionalDocumentReference|||||
cbc.ID|BT-60|UBL PEPPOL field cbc.ID|||||
cbc.IssueDate|BT-61|UBL PEPPOL field cbc.IssueDate|||||
cac.DespatchDocumentReference|BT-62|UBL PEPPOL field cac.DespatchDocumentReference|||||
cbc.ID|BT-63|UBL PEPPOL field cbc.ID|||||
cbc.IssueDate|BT-64|UBL PEPPOL field cbc.IssueDate|||||
cac.ReceiptDocumentReference|BT-65|UBL PEPPOL field cac.ReceiptDocumentReference|||||
cbc.ID|BT-66|UBL PEPPOL field cbc.ID|||||
cac.OriginatorDocumentReference|BT-67|UBL PEPPOL field cac.OriginatorDocumentReference|||||
cbc.ID|BT-68|UBL PEPPOL field cbc.ID|||||
cac.ContractDocumentReference|BT-69|UBL PEPPOL field cac.ContractDocumentReference|||||
cbc.ID|BT-70|UBL PEPPOL field cbc.ID|||||
cac.AdditionalDocumentReference|BT-71|UBL PEPPOL field cac.AdditionalDocumentReference|||||
cbc.ID|BT-72|UBL PEPPOL field cbc.ID|||||
@schemeID|BT-73|UBL PEPPOL field @schemeID|||||
cbc.DocumentTypeCode|BT-74|UBL PEPPOL field cbc.DocumentTypeCode|||||
cbc.DocumentDescription|BT-75|UBL PEPPOL field cbc.DocumentDescription|||||
cac.Attachment|BT-76|UBL PEPPOL field cac.Attachment|||||
cbc.EmbeddedDocumentBinaryObject|BT-77|UBL PEPPOL field cbc.EmbeddedDocumentBinaryObject|||||
@mimeCode|BT-78|UBL PEPPOL field @mimeCode|||||
@filename|BT-79|UBL PEPPOL field @filename|||||
cac.ExternalReference|BT-80|UBL PEPPOL field cac.ExternalReference|||||
cbc.URI|BT-81|UBL PEPPOL field cbc.URI|||||
