campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath
E1EDK01.CURCY,Currency,Currency,SI,1..1,,,0,3,/IDOC/E1EDK01/CURCY
E1EDK01.HWAER,EDI local currency,EDI local currency,NO,0..1,,,3,3,/IDOC/E1EDK01/HWAER
E1EDK01.WKURS,Exchange rate,Exchange rate,NO,0..1,,,6,12,/IDOC/E1EDK01/WKURS
E1EDK01.ZTERM,Terms of payment key,Terms of payment key,NO,0..1,,,18,4,/IDOC/E1EDK01/ZTERM
E1EDK01.KUNDEUINR,VAT Registration Number,VAT Registration Number,NO,0..1,,,22,20,/IDOC/E1EDK01/KUNDEUINR
E1EDK01.EIGENUINR,VAT Registration Number,VAT Registration Number,NO,0..1,,,42,20,/IDOC/E1EDK01/EIGENUINR
E1EDK01.BSART,Document Type,Document Type,NO,0..1,,,62,4,/IDOC/E1EDK01/BSART
E1EDK01.BELNR,IDOC document number,IDOC document number,SI,1..1,,,66,35,/IDOC/E1EDK01/BELNR
E1EDK01.NTGEW,Net weight,Net weight,NO,0..1,,,101,15,/IDOC/E1EDK01/NTGEW
E1EDK01.BRGEW,Net weight,Net weight,NO,0..1,,,116,15,/IDOC/E1EDK01/BRGEW
E1EDK01.GEWEI,Weight unit,Weight unit,NO,0..1,,,131,3,/IDOC/E1EDK01/GEWEI
E1EDK01.RECIPNT_NO,Number of recipient,Number of recipient (for contr,NO,0..1,,,134,20,/IDOC/E1EDK01/RECIPNT_NO
E1EDK01.FKTYP,Billing Category,Billing Category,NO,0..1,,,154,64,/IDOC/E1EDK01/FKTYP
E1EDKA1.PARVW,Partner function,Partner function (e.g. sold-to,NO,0..1,,,218,2,/IDOC/E1EDKA1/PARVW
E1EDKA1.LIFNR,Supplier Number at Customer Lo,Supplier Number at Customer Lo,NO,0..1,,,220,10,/IDOC/E1EDKA1/LIFNR
E1EDKA1.NAME1,Name 1,Name 1,NO,0..1,,,230,35,/IDOC/E1EDKA1/NAME1
E1EDKA1.STRAS,Street and house number 1,Street and house number 1,NO,0..1,,,265,35,/IDOC/E1EDKA1/STRAS
E1EDKA1.ORT01,City,City,NO,0..1,,,300,35,/IDOC/E1EDKA1/ORT01
E1EDKA1.PSTLZ,Postal code,Postal code,NO,0..1,,,335,10,/IDOC/E1EDKA1/PSTLZ
E1EDKA1.LAND1,Country Key,Country Key,NO,0..1,,,345,2,/IDOC/E1EDKA1/LAND1
E1EDKA1.TELF1,1st telephone number of contac,1st telephone number of contac,NO,0..1,,,347,16,/IDOC/E1EDKA1/TELF1
E1EDKA1.TELFX,Fax number,Fax number,NO,0..1,,,363,16,/IDOC/E1EDKA1/TELFX
E1EDKA1.SPRAS,Language key,Language key,NO,0..1,,,379,20,/IDOC/E1EDKA1/SPRAS
E1EDKA1.BNAME,IDoc user name,IDoc user name,NO,0..1,,,399,35,/IDOC/E1EDKA1/BNAME
E1EDKA1.PAORG,IDOC organization code,IDOC organization code,NO,0..1,,,434,20,/IDOC/E1EDKA1/PAORG
E1EDKA1.PARVW,Partner function,Partner function (e.g. sold-to,NO,0..1,,,454,2,/IDOC/E1EDKA1/PARVW
E1EDKA1.PARTN,Partner number,Partner number,NO,0..1,,,456,20,/IDOC/E1EDKA1/PARTN
E1EDKA1.LIFNR,Supplier Number at Customer Lo,Supplier Number at Customer Lo,NO,0..1,,,476,10,/IDOC/E1EDKA1/LIFNR
E1EDKA1.NAME1,Name 1,Name 1,NO,0..1,,,486,35,/IDOC/E1EDKA1/NAME1
E1EDKA1.STRAS,Street and house number 1,Street and house number 1,NO,0..1,,,521,35,/IDOC/E1EDKA1/STRAS
E1EDKA1.ORT01,City,City,NO,0..1,,,556,35,/IDOC/E1EDKA1/ORT01
E1EDKA1.PSTLZ,Postal code,Postal code,NO,0..1,,,591,10,/IDOC/E1EDKA1/PSTLZ
E1EDKA1.LAND1,Country Key,Country Key,NO,0..1,,,601,2,/IDOC/E1EDKA1/LAND1
E1EDKA1.SPRAS,Language key,Language key,NO,0..1,,,603,20,/IDOC/E1EDKA1/SPRAS
E1EDKA1.ORT02,District,District,NO,0..1,,,623,20,/IDOC/E1EDKA1/ORT02
E1EDKA1.REGIO,Region,Region,NO,0..1,,,643,3,/IDOC/E1EDKA1/REGIO
E1EDKA1.SPRAS_ISO,2-Character SAP Language Code,2-Character SAP Language Code,NO,0..1,,,646,20,/IDOC/E1EDKA1/SPRAS_ISO
E1EDKA1.PARVW,Partner function,Partner function (e.g. sold-to,NO,0..1,,,666,2,/IDOC/E1EDKA1/PARVW
E1EDKA1.PARTN,Partner number,Partner number,NO,0..1,,,668,20,/IDOC/E1EDKA1/PARTN
E1EDKA1.NAME1,Name 1,Name 1,NO,0..1,,,688,35,/IDOC/E1EDKA1/NAME1
E1EDKA1.STRAS,Street and house number 1,Street and house number 1,NO,0..1,,,723,35,/IDOC/E1EDKA1/STRAS
E1EDKA1.ORT01,City,City,NO,0..1,,,758,35,/IDOC/E1EDKA1/ORT01
E1EDKA1.PSTLZ,Postal code,Postal code,NO,0..1,,,793,10,/IDOC/E1EDKA1/PSTLZ
E1EDKA1.LAND1,Country Key,Country Key,NO,0..1,,,803,2,/IDOC/E1EDKA1/LAND1
E1EDKA1.SPRAS,Language key,Language key,NO,0..1,,,805,20,/IDOC/E1EDKA1/SPRAS
E1EDKA1.ORT02,District,District,NO,0..1,,,825,20,/IDOC/E1EDKA1/ORT02
E1EDKA1.REGIO,Region,Region,NO,0..1,,,845,3,/IDOC/E1EDKA1/REGIO
E1EDKA1.SPRAS_ISO,2-Character SAP Language Code,2-Character SAP Language Code,NO,0..1,,,848,20,/IDOC/E1EDKA1/SPRAS_ISO
E1EDKA1.PARVW,Partner function,Partner function (e.g. sold-to,NO,0..1,,,868,2,/IDOC/E1EDKA1/PARVW
E1EDKA1.PARTN,Partner number,Partner number,NO,0..1,,,870,20,/IDOC/E1EDKA1/PARTN
E1EDKA1.NAME1,Name 1,Name 1,NO,0..1,,,890,35,/IDOC/E1EDKA1/NAME1
E1EDKA1.STRAS,Street and house number 1,Street and house number 1,NO,0..1,,,925,35,/IDOC/E1EDKA1/STRAS
E1EDKA1.ORT01,City,City,NO,0..1,,,960,35,/IDOC/E1EDKA1/ORT01
E1EDKA1.PSTLZ,Postal code,Postal code,NO,0..1,,,995,10,/IDOC/E1EDKA1/PSTLZ
E1EDKA1.LAND1,Country Key,Country Key,NO,0..1,,,1005,2,/IDOC/E1EDKA1/LAND1
E1EDKA1.SPRAS,Language key,Language key,NO,0..1,,,1007,20,/IDOC/E1EDKA1/SPRAS
E1EDKA1.ORT02,District,District,NO,0..1,,,1027,20,/IDOC/E1EDKA1/ORT02
E1EDKA1.REGIO,Region,Region,NO,0..1,,,1047,3,/IDOC/E1EDKA1/REGIO
E1EDKA1.SPRAS_ISO,2-Character SAP Language Code,2-Character SAP Language Code,NO,0..1,,,1050,20,/IDOC/E1EDKA1/SPRAS_ISO
E1EDKA1.PARVW,Partner function,Partner function (e.g. sold-to,NO,0..1,,,1070,2,/IDOC/E1EDKA1/PARVW
E1EDKA1.PARTN,Partner number,Partner number,NO,0..1,,,1072,20,/IDOC/E1EDKA1/PARTN
