campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath
E1EDK01.CURCY,Currency,Currency,SI,1..1,,,68.0,3.0,/IDOC/E1EDK01/CURCY
E1EDK01.HWAER,EDI local currency,EDI local currency,NO,0..1,,,68.0,3.0,/IDOC/E1EDK01/HWAER
E1EDK01.WKURS,Exchange rate,Exchange rate,NO,0..1,,,74.0,7.0,/IDOC/E1EDK01/WKURS
E1EDK01.ZTERM,Terms of payment key,Terms of payment key,NO,0..1,,,86.0,4.0,/IDOC/E1EDK01/ZTERM
E1EDK01.KUNDEUINR,VAT Registration Number,VAT Registration Number,NO,0..1,,,103.0,11.0,/IDOC/E1EDK01/KUNDEUINR
E1EDK01.EIGENUINR,VAT Registration Number,VAT Registration Number,NO,0..1,,,42.0,20.0,/IDOC/E1EDK01/EIGENUINR
E1EDK01.BSART,Document Type,Document Type,NO,0..1,,,143.0,4.0,/IDOC/E1EDK01/BSART
E1EDK01.BELNR,IDOC document number,IDOC document number,SI,1..1,,,147.0,10.0,/IDOC/E1EDK01/BELNR
E1EDK01.NTGEW,Net weight,Net weight,NO,0..1,,,101.0,15.0,/IDOC/E1EDK01/NTGEW
E1EDK01.BRGEW,Net weight,Net weight,NO,0..1,,,200.0,5.0,/IDOC/E1EDK01/BRGEW
E1EDK01.GEWEI,Weight unit,Weight unit,NO,0..1,,,218.0,2.0,/IDOC/E1EDK01/GEWEI
E1EDK01.RECIPNT_NO,Number of recipient,Number of recipient (for contr,NO,0..1,,,276.0,10.0,/IDOC/E1EDK01/RECIPNT_NO
E1EDK01.FKTYP,Billing Category,Billing Category,NO,0..1,,,154.0,64.0,/IDOC/E1EDK01/FKTYP
E1EDKA1.PARVW,Partner function,Partner function (e.g. sold-to,NO,0..1,,,218.0,2.0,/IDOC/E1EDKA1/PARVW
E1EDKA1.LIFNR,Supplier Number at Customer Lo,Supplier Number at Customer Lo,NO,0..1,,,88.0,6.0,/IDOC/E1EDKA1/LIFNR
E1EDKA1.NAME1,Name 1,Name 1,NO,0..1,,,101.0,25.0,/IDOC/E1EDKA1/NAME1
E1EDKA1.STRAS,Street and house number 1,Street and house number 1,NO,0..1,,,241.0,30.0,/IDOC/E1EDKA1/STRAS
E1EDKA1.ORT01,City,City,NO,0..1,,,346.0,9.0,/IDOC/E1EDKA1/ORT01
E1EDKA1.PSTLZ,Postal code,Postal code,NO,0..1,,,390.0,8.0,/IDOC/E1EDKA1/PSTLZ
E1EDKA1.LAND1,Country Key,Country Key,NO,0..1,,,408.0,2.0,/IDOC/E1EDKA1/LAND1
E1EDKA1.TELF1,1st telephone number of contac,1st telephone number of contac,NO,0..1,,,347.0,16.0,/IDOC/E1EDKA1/TELF1
E1EDKA1.TELFX,Fax number,Fax number,NO,0..1,,,363.0,16.0,/IDOC/E1EDKA1/TELFX
E1EDKA1.SPRAS,Language key,Language key,NO,0..1,,,248.0,1.0,/IDOC/E1EDKA1/SPRAS
E1EDKA1.BNAME,IDoc user name,IDoc user name,NO,0..1,,,399.0,35.0,/IDOC/E1EDKA1/BNAME
E1EDKA1.PAORG,IDOC organization code,IDOC organization code,NO,0..1,,,84.0,4.0,/IDOC/E1EDKA1/PAORG
E1EDKA1.PARVW,Partner function,Partner function (e.g. sold-to,NO,0..1,,,454.0,2.0,/IDOC/E1EDKA1/PARVW
E1EDKA1.PARTN,Partner number,Partner number,NO,0..1,,,84.0,10.0,/IDOC/E1EDKA1/PARTN
E1EDKA1.LIFNR,Supplier Number at Customer Lo,Supplier Number at Customer Lo,NO,0..1,,,88.0,6.0,/IDOC/E1EDKA1/LIFNR
E1EDKA1.NAME1,Name 1,Name 1,NO,0..1,,,101.0,25.0,/IDOC/E1EDKA1/NAME1
E1EDKA1.STRAS,Street and house number 1,Street and house number 1,NO,0..1,,,241.0,30.0,/IDOC/E1EDKA1/STRAS
